Nº Pedido,Cliente - Motorista,Data Emissão Pedido,Data Entrega Prevista,Destino,Itens,R$ Faturados,Saída para Entrega,Data Entrega Real, Qtd Devolução,Mot. Devolução,Dias Para Entrega,Status
A4149,MAGAZINE LUIZA-JOÃO GOMES,2020-09-09,2020-09-19,RJ,11,534.6,2020-09-11,2020-09-21,10,Danificado,12,Atrasado
A4158,AMERICANAS-TÚLIO SILVEIRA,2020-09-10,2020-09-20,RJ,14,439.59999999999997,2020-09-11,2020-09-26,0,S/ Devolu.,16,Atrasado
A4163,AMERICANAS-MARCOS LEROY,2020-09-10,2020-09-20,BH,1,16.2,2020-09-13,2020-09-22,1,Danificado,12,Atrasado
A4164,CASAS BAHIA-JOÃO GOMES,2020-09-10,2020-09-20,RJ,19,313.50000000000006,2020-09-12,2020-09-15,1,Produto Errado,5,No Prazo
A4166,CASAS BAHIA-JOÃO GOMES,2020-09-10,2020-09-20,BH,12,583.1999999999999,2020-09-11,2020-09-24,3,Produto Errado,14,Atrasado
A4167,WALMART-JOÃO GOMES,2020-09-10,2020-09-20,RJ,15,760.5000000000005,2020-09-12,2020-09-13,3,Danificado,3,No Prazo
A4170,MAGAZINE LUIZA-MARCOS LEROY,2020-09-10,2020-09-20,RJ,10,336.00000000000017,2020-09-17,2020-09-18,3,Arrependimento,8,No Prazo
A4171,WALMART-MARCOS LEROY,2020-09-10,2020-09-20,BH,19,319.20000000000016,2020-09-14,2020-09-27,1,Produto Errado,17,Atrasado
A4178,CASAS BAHIA-VALDIR ESPINOSA,2020-09-10,2020-09-20,RJ,5,236.99999999999997,2020-09-15,2020-09-17,0,S/ Devolu.,7,No Prazo
A4180,CASAS BAHIA-VALDIR ESPINOSA,2020-09-10,2020-09-20,SP,18,590.4000000000001,2020-09-11,2020-09-23,0,S/ Devolu.,13,Atrasado
A4181,WALMART-TÚLIO SILVEIRA,2020-09-10,2020-09-20,SP,17,856.8000000000004,2020-09-14,2020-09-19,0,S/ Devolu.,9,No Prazo
A4182,CASAS BAHIA-TÚLIO SILVEIRA,2020-09-10,2020-09-20,BH,20,326.0,2020-09-13,2020-09-25,0,S/ Devolu.,15,Atrasado
A4183,CASAS BAHIA-TÚLIO SILVEIRA,2020-09-10,2020-09-20,BH,17,289.00000000000017,2020-09-16,2020-09-26,2,Produto Errado,16,Atrasado
A4185,WALMART-TÚLIO SILVEIRA,2020-09-10,2020-09-20,RJ,1,47.099999999999994,2020-09-17,2020-09-26,0,S/ Devolu.,16,Atrasado
A4187,WALMART-TÚLIO SILVEIRA,2020-09-10,2020-09-20,BH,8,129.6,2020-09-16,2020-09-24,2,Danificado,14,Atrasado
A4193,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-09-11,2020-09-21,SP,10,479.99999999999994,2020-09-14,2020-09-19,2,Arrependimento,8,No Prazo
A4195,CASAS BAHIA-FELIPE SILVA,2020-09-11,2020-09-21,SP,18,300.60000000000014,2020-09-22,2020-09-26,0,S/ Devolu.,15,Atrasado
A4200,CASAS BAHIA-LUIZ PARDAL,2020-09-11,2020-09-21,BH,9,440.1,2020-09-23,2020-09-27,0,S/ Devolu.,16,Atrasado
A4202,WALMART-LUIZ PARDAL,2020-09-11,2020-09-21,RJ,13,434.20000000000016,2020-09-15,2020-09-26,0,S/ Devolu.,15,Atrasado
A4203,CASAS BAHIA-LUIZ PARDAL,2020-09-11,2020-09-21,RJ,17,537.1999999999999,2020-09-14,2020-09-21,0,S/ Devolu.,10,No Prazo
A4204,CASAS BAHIA-LUIZ PARDAL,2020-09-11,2020-09-21,BH,1,15.5,2020-09-13,2020-09-19,0,S/ Devolu.,8,No Prazo
A4211,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-09-11,2020-09-21,BH,2,66.40000000000002,2020-09-26,2020-09-27,1,Produto Errado,16,Atrasado
A4213,AMERICANAS-VALDIR ESPINOSA,2020-09-11,2020-09-21,RJ,1,32.199999999999996,2020-09-19,2020-09-22,0,S/ Devolu.,11,Atrasado
A4214,WALMART-VALDIR ESPINOSA,2020-09-11,2020-09-21,SP,5,255.00000000000017,2020-09-12,2020-09-16,0,S/ Devolu.,5,No Prazo
A4215,WALMART-VALDIR ESPINOSA,2020-09-11,2020-09-21,BH,4,67.60000000000004,2020-09-22,2020-09-26,0,S/ Devolu.,15,Atrasado
A4219,AMERICANAS-FELIPE SILVA,2020-09-11,2020-09-21,SP,20,947.9999999999999,2020-09-15,2020-09-17,0,S/ Devolu.,6,No Prazo
A4221,CASAS BAHIA-JOÃO GOMES,2020-09-11,2020-09-21,BH,3,48.599999999999994,2020-09-17,2020-09-21,2,Produto Errado,10,No Prazo
A4222,MAGAZINE LUIZA-JOÃO GOMES,2020-09-11,2020-09-21,SP,18,304.20000000000016,2020-09-17,2020-09-19,1,Danificado,8,No Prazo
A4224,MAGAZINE LUIZA-LUIZ PARDAL,2020-09-12,2020-09-22,RJ,1,32.800000000000004,2020-09-20,2020-09-23,1,Produto Errado,11,Atrasado
A4228,CASAS BAHIA-TÚLIO SILVEIRA,2020-09-12,2020-09-22,RJ,3,148.50000000000003,2020-09-13,2020-09-23,2,Danificado,11,Atrasado
A4229,CASAS BAHIA-JOÃO GOMES,2020-09-12,2020-09-22,RJ,20,600.0,2020-09-13,2020-09-24,1,Danificado,12,Atrasado
A4230,WALMART-JOÃO GOMES,2020-09-12,2020-09-22,RJ,15,234.0,2020-09-19,2020-09-28,4,Danificado,16,Atrasado
A4231,WALMART-MARCOS LEROY,2020-09-12,2020-09-22,RJ,19,305.9,2020-09-24,2020-09-29,2,Produto Errado,17,Atrasado
A4232,WALMART-MARCOS LEROY,2020-09-12,2020-09-22,BH,13,202.79999999999998,2020-09-20,2020-09-28,3,Produto Errado,16,Atrasado
A4233,MAGAZINE LUIZA-MARCOS LEROY,2020-09-12,2020-09-22,SP,4,62.0,2020-09-20,2020-09-24,3,Produto Errado,12,Atrasado
A4237,WALMART-MARCOS LEROY,2020-09-12,2020-09-22,BH,11,561.0000000000003,2020-09-24,2020-09-25,11,Produto Errado,13,Atrasado
A4238,WALMART-MARCOS LEROY,2020-09-12,2020-09-22,BH,3,48.599999999999994,2020-09-18,2020-09-22,1,Danificado,10,No Prazo
A4239,WALMART-MARCOS LEROY,2020-09-12,2020-09-22,SP,10,158.0,2020-09-16,2020-09-26,3,Danificado,14,Atrasado
A4243,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-09-12,2020-09-22,SP,8,391.20000000000005,2020-09-20,2020-09-22,3,Danificado,10,No Prazo
A4244,WALMART-VALDIR ESPINOSA,2020-09-12,2020-09-22,BH,10,165.00000000000003,2020-09-22,2020-09-25,0,S/ Devolu.,13,Atrasado
A4245,CASAS BAHIA-VALDIR ESPINOSA,2020-09-12,2020-09-22,SP,13,195.0,2020-09-15,2020-09-21,0,S/ Devolu.,9,No Prazo
A4246,WALMART-VALDIR ESPINOSA,2020-09-12,2020-09-22,RJ,5,163.0,2020-09-16,2020-09-18,3,Produto Errado,6,No Prazo
A4251,AMERICANAS-JOÃO GOMES,2020-09-12,2020-09-22,BH,10,330.00000000000006,2020-09-21,2020-09-22,1,Produto Errado,10,No Prazo
A4253,MAGAZINE LUIZA-JOÃO GOMES,2020-09-12,2020-09-22,BH,3,100.20000000000005,2020-09-13,2020-09-17,2,Produto Errado,5,No Prazo
A4260,WALMART-JOÃO GOMES,2020-09-13,2020-09-23,BH,15,715.4999999999999,2020-09-19,2020-09-29,14,Produto Errado,16,Atrasado
A4261,CASAS BAHIA-JOÃO GOMES,2020-09-13,2020-09-23,RJ,10,338.00000000000017,2020-09-14,2020-09-26,2,Produto Errado,13,Atrasado
A4264,WALMART-VALDIR ESPINOSA,2020-09-13,2020-09-23,BH,8,396.0000000000001,2020-09-15,2020-09-25,2,Danificado,12,Atrasado
A4265,WALMART-VALDIR ESPINOSA,2020-09-13,2020-09-23,SP,17,557.6,2020-09-22,2020-09-24,1,Arrependimento,11,Atrasado
A4266,CASAS BAHIA-LUIZ PARDAL,2020-09-13,2020-09-23,RJ,3,143.1,2020-09-16,2020-09-25,0,S/ Devolu.,12,Atrasado
A4267,CASAS BAHIA-LUIZ PARDAL,2020-09-13,2020-09-23,SP,16,787.2,2020-09-15,2020-09-20,0,S/ Devolu.,7,No Prazo
A4275,WALMART-VALDIR ESPINOSA,2020-09-13,2020-09-23,BH,14,680.4,2020-09-27,2020-09-28,0,S/ Devolu.,15,Atrasado
A4280,WALMART-FELIPE SILVA,2020-09-13,2020-09-23,RJ,10,165.00000000000003,2020-09-23,2020-09-28,0,S/ Devolu.,15,Atrasado
A4281,WALMART-FELIPE SILVA,2020-09-13,2020-09-23,RJ,8,127.19999999999999,2020-09-16,2020-09-26,1,Produto Errado,13,Atrasado
A4282,CASAS BAHIA-FELIPE SILVA,2020-09-13,2020-09-23,BH,11,185.9000000000001,2020-09-16,2020-10-02,4,Produto Errado,19,Atrasado
A4284,CASAS BAHIA-FELIPE SILVA,2020-09-13,2020-09-23,SP,7,238.00000000000014,2020-09-15,2020-09-28,0,S/ Devolu.,15,Atrasado
A4285,WALMART-FELIPE SILVA,2020-09-13,2020-09-23,SP,12,561.6,2020-09-14,2020-09-28,0,S/ Devolu.,15,Atrasado
A4286,MAGAZINE LUIZA-MARCOS LEROY,2020-09-13,2020-09-23,BH,7,218.4,2020-09-17,2020-09-22,3,Produto Errado,9,No Prazo
A4287,MAGAZINE LUIZA-MARCOS LEROY,2020-09-13,2020-09-23,BH,15,711.0,2020-09-20,2020-09-21,1,Produto Errado,8,No Prazo
A4288,AMERICANAS-MARCOS LEROY,2020-09-13,2020-09-23,BH,11,495.0,2020-09-20,2020-09-25,1,Produto Errado,12,Atrasado
A4289,WALMART-MARCOS LEROY,2020-09-13,2020-09-23,RJ,17,564.4000000000002,2020-09-14,2020-09-24,1,Danificado,11,Atrasado
A4291,AMERICANAS-MARCOS LEROY,2020-09-14,2020-09-24,SP,15,252.0000000000001,2020-09-24,2020-09-30,1,Arrependimento,16,Atrasado
A4293,MAGAZINE LUIZA-FELIPE SILVA,2020-09-14,2020-09-24,BH,18,608.4000000000003,2020-09-16,2020-09-25,1,Danificado,11,Atrasado
A4295,AMERICANAS-VALDIR ESPINOSA,2020-09-14,2020-09-24,RJ,15,252.0000000000001,2020-09-24,2020-09-26,0,S/ Devolu.,12,Atrasado
A4297,MAGAZINE LUIZA-MARCOS LEROY,2020-09-14,2020-09-24,BH,7,236.60000000000014,2020-09-18,2020-09-22,1,Produto Errado,8,No Prazo
A4301,MAGAZINE LUIZA-LUIZ PARDAL,2020-09-14,2020-09-24,RJ,15,706.5,2020-09-19,2020-09-29,0,S/ Devolu.,15,Atrasado
A4302,CASAS BAHIA-MARCOS LEROY,2020-09-14,2020-09-24,BH,3,45.0,2020-09-18,2020-09-30,2,Danificado,16,Atrasado
A4303,AMERICANAS-MARCOS LEROY,2020-09-14,2020-09-24,BH,4,63.199999999999996,2020-09-25,2020-09-30,1,Danificado,16,Atrasado
A4308,WALMART-JOÃO GOMES,2020-09-14,2020-09-24,BH,9,418.5,2020-09-19,2020-09-23,3,Danificado,9,No Prazo
A4309,WALMART-JOÃO GOMES,2020-09-14,2020-09-24,RJ,9,286.2,2020-09-17,2020-09-28,5,Danificado,14,Atrasado
A4310,CASAS BAHIA-TÚLIO SILVEIRA,2020-09-14,2020-09-24,RJ,17,271.99999999999994,2020-09-19,2020-09-28,2,Danificado,14,Atrasado
A4311,MAGAZINE LUIZA-TÚLIO SILVEIRA,2020-09-14,2020-09-24,SP,15,465.0,2020-09-18,2020-09-28,1,Danificado,14,Atrasado
A4312,MAGAZINE LUIZA-TÚLIO SILVEIRA,2020-09-14,2020-09-24,BH,2,66.80000000000003,2020-09-17,2020-09-29,2,Produto Errado,15,Atrasado
A4314,WALMART-JOÃO GOMES,2020-09-14,2020-09-24,BH,4,63.199999999999996,2020-09-19,2020-09-27,1,Danificado,13,Atrasado
A4315,CASAS BAHIA-JOÃO GOMES,2020-09-14,2020-09-24,SP,6,97.19999999999999,2020-09-18,2020-09-20,2,Danificado,6,No Prazo
A4316,CASAS BAHIA-JOÃO GOMES,2020-09-14,2020-09-24,BH,1,47.099999999999994,2020-09-23,2020-09-26,1,Produto Errado,12,Atrasado
A4320,CASAS BAHIA-JOÃO GOMES,2020-09-14,2020-09-24,RJ,18,287.99999999999994,2020-09-15,2020-09-30,5,Danificado,16,Atrasado
A4321,CASAS BAHIA-MARCOS LEROY,2020-09-14,2020-09-24,SP,17,795.6,2020-09-24,2020-09-30,2,Produto Errado,16,Atrasado
A4322,WALMART-VALDIR ESPINOSA,2020-09-14,2020-09-24,SP,10,471.0,2020-09-25,2020-09-29,0,S/ Devolu.,15,Atrasado
A4324,MAGAZINE LUIZA-JOÃO GOMES,2020-09-14,2020-09-24,BH,15,747.0000000000002,2020-09-27,2020-09-28,1,Danificado,14,Atrasado
A4330,WALMART-VALDIR ESPINOSA,2020-09-15,2020-09-25,RJ,19,642.2000000000004,2020-09-21,2020-09-26,1,Danificado,11,Atrasado
A4341,WALMART-LUIZ PARDAL,2020-09-15,2020-09-25,RJ,18,572.4,2020-09-19,2020-09-27,0,S/ Devolu.,12,Atrasado
A4343,CASAS BAHIA-LUIZ PARDAL,2020-09-15,2020-09-25,BH,4,65.2,2020-09-18,2020-09-30,0,S/ Devolu.,15,Atrasado
A4349,MAGAZINE LUIZA-FELIPE SILVA,2020-09-15,2020-09-25,SP,13,215.80000000000007,2020-09-17,2020-09-19,0,S/ Devolu.,4,No Prazo
A4350,CASAS BAHIA-FELIPE SILVA,2020-09-15,2020-09-25,SP,6,306.00000000000017,2020-09-16,2020-09-21,2,Produto Errado,6,No Prazo
A4353,WALMART-JOÃO GOMES,2020-09-15,2020-09-25,BH,3,97.80000000000001,2020-09-23,2020-09-29,3,Produto Errado,14,Atrasado
A4354,CASAS BAHIA-JOÃO GOMES,2020-09-15,2020-09-25,RJ,4,129.6,2020-09-26,2020-09-30,1,Danificado,15,Atrasado
A4356,WALMART-VALDIR ESPINOSA,2020-09-15,2020-09-25,RJ,19,634.6000000000003,2020-09-28,2020-10-02,1,Produto Errado,17,Atrasado
A4358,CASAS BAHIA-TÚLIO SILVEIRA,2020-09-15,2020-09-25,SP,19,285.0,2020-09-24,2020-09-29,2,Danificado,14,Atrasado
A4362,WALMART-VALDIR ESPINOSA,2020-09-16,2020-09-26,SP,17,800.6999999999999,2020-09-20,2020-09-26,1,Produto Errado,10,No Prazo
A4363,CASAS BAHIA-MARCOS LEROY,2020-09-16,2020-09-26,RJ,6,306.00000000000017,2020-09-17,2020-09-25,6,Danificado,9,No Prazo
A4369,AMERICANAS-VALDIR ESPINOSA,2020-09-16,2020-09-26,SP,14,453.59999999999997,2020-09-17,2020-09-28,1,Produto Errado,12,Atrasado
A4370,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-09-16,2020-09-26,RJ,11,557.7000000000003,2020-09-27,2020-10-02,2,Produto Errado,16,Atrasado
A4373,WALMART-TÚLIO SILVEIRA,2020-09-16,2020-09-26,BH,19,894.9,2020-09-30,2020-10-01,2,Produto Errado,15,Atrasado
A4374,MAGAZINE LUIZA-TÚLIO SILVEIRA,2020-09-16,2020-09-26,SP,2,31.0,2020-09-23,2020-09-24,0,S/ Devolu.,8,No Prazo
A4376,MAGAZINE LUIZA-JOÃO GOMES,2020-09-16,2020-09-26,BH,4,193.2,2020-09-29,2020-10-05,4,Danificado,19,Atrasado
A4377,WALMART-LUIZ PARDAL,2020-09-16,2020-09-26,RJ,8,400.8000000000002,2020-09-17,2020-09-30,1,Danificado,14,Atrasado
A4378,CASAS BAHIA-LUIZ PARDAL,2020-09-16,2020-09-26,SP,3,146.70000000000002,2020-09-19,2020-10-01,0,S/ Devolu.,15,Atrasado
A4379,CASA E VIDEO-LUIZ PARDAL,2020-09-16,2020-09-26,RJ,14,228.20000000000002,2020-09-27,2020-10-01,1,Produto Errado,15,Atrasado
A4380,WALMART-VALDIR ESPINOSA,2020-09-16,2020-09-26,BH,14,217.0,2020-09-20,2020-09-24,0,S/ Devolu.,8,No Prazo
A4381,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-09-16,2020-09-26,BH,12,558.0,2020-09-22,2020-10-01,0,S/ Devolu.,15,Atrasado
A4392,WALMART-TÚLIO SILVEIRA,2020-09-16,2020-09-26,RJ,14,701.4000000000003,2020-09-20,2020-09-24,1,Produto Errado,8,No Prazo
A4393,CASAS BAHIA-TÚLIO SILVEIRA,2020-09-16,2020-09-26,SP,14,235.2000000000001,2020-09-21,2020-10-02,0,S/ Devolu.,16,Atrasado
A4394,WALMART-VALDIR ESPINOSA,2020-09-16,2020-09-26,SP,13,585.0,2020-09-28,2020-10-03,1,Arrependimento,17,Atrasado
A4396,CASAS BAHIA-MARCOS LEROY,2020-09-17,2020-09-27,RJ,11,541.2,2020-09-20,2020-09-25,3,Danificado,8,No Prazo
A4398,AMERICANAS-MARCOS LEROY,2020-09-17,2020-09-27,SP,12,386.4,2020-09-18,2020-09-23,1,Danificado,6,No Prazo
A4399,WALMART-TÚLIO SILVEIRA,2020-09-17,2020-09-27,BH,1,31.0,2020-09-19,2020-09-28,1,Produto Errado,11,Atrasado
A4401,MAGAZINE LUIZA-JOÃO GOMES,2020-09-17,2020-09-27,RJ,15,252.0000000000001,2020-09-20,2020-09-26,2,Produto Errado,9,No Prazo
A4402,MAGAZINE LUIZA-FELIPE SILVA,2020-09-17,2020-09-27,RJ,9,440.1,2020-09-24,2020-10-05,1,Produto Errado,18,Atrasado
A4403,WALMART-VALDIR ESPINOSA,2020-09-17,2020-09-27,BH,17,530.4,2020-09-27,2020-09-29,0,S/ Devolu.,12,Atrasado
A4404,CASAS BAHIA-VALDIR ESPINOSA,2020-09-17,2020-09-27,BH,4,132.80000000000004,2020-09-20,2020-09-22,2,Danificado,5,No Prazo
A4405,CASAS BAHIA-VALDIR ESPINOSA,2020-09-17,2020-09-27,BH,2,64.39999999999999,2020-09-21,2020-09-30,2,Produto Errado,13,Atrasado
A4406,AMERICANAS-VALDIR ESPINOSA,2020-09-17,2020-09-27,BH,2,94.19999999999999,2020-10-01,2020-10-02,0,S/ Devolu.,15,Atrasado
A4411,CASAS BAHIA-VALDIR ESPINOSA,2020-09-17,2020-09-27,SP,7,228.20000000000002,2020-09-19,2020-09-23,0,S/ Devolu.,6,No Prazo
A4412,CASAS BAHIA-VALDIR ESPINOSA,2020-09-17,2020-09-27,BH,3,49.500000000000014,2020-09-22,2020-09-25,0,S/ Devolu.,8,No Prazo
A4414,CASAS BAHIA-VALDIR ESPINOSA,2020-09-17,2020-09-27,SP,14,714.0000000000005,2020-09-24,2020-09-27,1,Produto Errado,10,No Prazo
A4415,MAGAZINE LUIZA-VALDIR ESPINOSA,2020-09-17,2020-09-27,BH,16,270.40000000000015,2020-09-18,2020-10-01,3,Danificado,14,Atrasado
A4416,CASAS BAHIA-JOÃO GOMES,2020-09-17,2020-09-27,BH,9,279.0,2020-09-26,2020-09-27,9,Danificado,10,No Prazo
A4417,WALMART-JOÃO GOMES,2020-09-17,2020-09-27,BH,3,94.19999999999999,2020-09-26,2020-09-30,2,Produto Errado,13,Atrasado
A4418,MAGAZINE LUIZA-JOÃO GOMES,2020-09-17,2020-09-27,BH,7,350.70000000000016,2020-09-27,2020-09-29,6,Produto Errado,12,Atrasado
A4419,CASAS BAHIA-JOÃO GOMES,2020-09-17,2020-09-27,RJ,2,95.39999999999999,2020-09-19,2020-10-03,1,Danificado,16,Atrasado
A4421,WALMART-VALDIR ESPINOSA,2020-09-17,2020-09-27,RJ,11,179.3,2020-09-21,2020-09-30,2,Danificado,13,Atrasado
A4422,WALMART-VALDIR ESPINOSA,2020-09-17,2020-09-27,SP,12,586.8000000000001,2020-09-23,2020-10-01,2,Arrependimento,14,Atrasado
A4429,MAGAZINE LUIZA-FELIPE SILVA,2020-09-17,2020-09-27,RJ,12,199.20000000000005,2020-09-21,2020-09-28,3,Danificado,11,Atrasado
A4430,MAGAZINE LUIZA-FELIPE SILVA,2020-09-17,2020-09-27,SP,18,863.9999999999999,2020-09-23,2020-09-26,0,S/ Devolu.,9,No Prazo
A4438,WALMART-LUIZ PARDAL,2020-09-18,2020-09-28,SP,13,215.80000000000007,2020-09-19,2020-09-29,1,Danificado,11,Atrasado
A4439,CASAS BAHIA-LUIZ PARDAL,2020-09-18,2020-09-28,SP,11,511.5,2020-09-26,2020-09-29,1,Danificado,11,Atrasado
A4440,MAGAZINE LUIZA-LUIZ PARDAL,2020-09-18,2020-09-28,SP,11,183.70000000000007,2020-10-03,2020-10-04,0,S/ Devolu.,16,Atrasado
A4441,MAGAZINE LUIZA-FELIPE SILVA,2020-09-18,2020-09-28,BH,7,352.8000000000002,2020-09-20,2020-09-24,0,S/ Devolu.,6,No Prazo
A4444,CASAS BAHIA-JOÃO GOMES,2020-09-18,2020-09-28,RJ,5,166.00000000000006,2020-09-30,2020-10-03,2,Arrependimento,15,Atrasado
A4447,WALMART-JOÃO GOMES,2020-09-18,2020-09-28,BH,5,167.00000000000006,2020-09-27,2020-09-29,3,Danificado,11,Atrasado
A4448,WALMART-MARCOS LEROY,2020-09-18,2020-09-28,BH,16,767.9999999999999,2020-10-01,2020-10-02,3,Danificado,14,Atrasado
A4450,CASAS BAHIA-LUIZ PARDAL,2020-09-18,2020-09-28,BH,10,328.00000000000006,2020-09-19,2020-10-01,1,Danificado,13,Atrasado
A4451,CASA E VIDEO-LUIZ PARDAL,2020-09-18,2020-09-28,RJ,12,186.0,2020-10-01,2020-10-02,1,Produto Errado,14,Atrasado
A4456,WALMART-JOÃO GOMES,2020-09-18,2020-09-28,BH,9,434.69999999999993,2020-09-21,2020-09-26,8,Danificado,8,No Prazo
A4457,MAGAZINE LUIZA-JOÃO GOMES,2020-09-18,2020-09-28,BH,1,16.90000000000001,2020-09-20,2020-09-24,1,Danificado,6,No Prazo
A4458,WALMART-JOÃO GOMES,2020-09-18,2020-09-28,BH,17,527.0,2020-09-20,2020-09-23,3,Produto Errado,5,No Prazo
A4462,WALMART-VALDIR ESPINOSA,2020-09-19,2020-09-29,BH,14,697.2000000000002,2020-10-03,2020-10-07,0,S/ Devolu.,18,Atrasado
A4463,CASA E VIDEO-VALDIR ESPINOSA,2020-09-19,2020-09-29,BH,1,47.99999999999999,2020-09-20,2020-09-27,1,Arrependimento,8,No Prazo
A4464,MAGAZINE LUIZA-LUIZ PARDAL,2020-09-19,2020-09-29,RJ,1,17.00000000000001,2020-09-24,2020-10-06,0,S/ Devolu.,17,Atrasado
A4472,MAGAZINE LUIZA-LUIZ PARDAL,2020-09-19,2020-09-29,SP,1,15.999999999999998,2020-09-26,2020-09-27,1,Arrependimento,8,No Prazo
A4473,CASAS BAHIA-LUIZ PARDAL,2020-09-19,2020-09-29,SP,10,336.00000000000017,2020-09-30,2020-10-01,2,Danificado,12,Atrasado
A4475,AMERICANAS-LUIZ PARDAL,2020-09-19,2020-09-29,RJ,14,439.59999999999997,2020-09-26,2020-10-03,0,S/ Devolu.,14,Atrasado
A4476,CASA E VIDEO-LUIZ PARDAL,2020-09-19,2020-09-29,BH,14,218.4,2020-09-23,2020-10-02,1,Danificado,13,Atrasado
A4481,MAGAZINE LUIZA-JOÃO GOMES,2020-09-19,2020-09-29,SP,7,357.0000000000002,2020-09-23,2020-09-30,3,Arrependimento,11,Atrasado
A4482,AMERICANAS-VALDIR ESPINOSA,2020-09-19,2020-09-29,SP,14,420.0,2020-09-28,2020-10-01,3,Arrependimento,12,Atrasado
A4483,CASAS BAHIA-VALDIR ESPINOSA,2020-09-19,2020-09-29,SP,1,48.900000000000006,2020-09-25,2020-10-02,1,Arrependimento,13,Atrasado
A4484,CASA E VIDEO-VALDIR ESPINOSA,2020-09-19,2020-09-29,BH,7,115.50000000000003,2020-09-26,2020-10-07,3,Produto Errado,18,Atrasado
A4488,MAGAZINE LUIZA-JOÃO GOMES,2020-09-19,2020-09-29,RJ,11,330.0,2020-09-23,2020-10-02,1,Produto Errado,13,Atrasado
A4489,CASAS BAHIA-JOÃO GOMES,2020-09-19,2020-09-29,RJ,2,101.40000000000006,2020-09-30,2020-10-01,2,Produto Errado,12,Atrasado
A4490,CASAS BAHIA-JOÃO GOMES,2020-09-19,2020-09-29,BH,16,255.99999999999997,2020-09-25,2020-10-06,3,Danificado,17,Atrasado
A4495,WALMART-VALDIR ESPINOSA,2020-09-19,2020-09-29,RJ,3,99.60000000000002,2020-09-25,2020-10-01,2,Danificado,12,Atrasado
A4498,WALMART-VALDIR ESPINOSA,2020-09-20,2020-09-30,RJ,7,115.50000000000003,2020-09-21,2020-10-02,1,Danificado,12,Atrasado
A4499,CASAS BAHIA-MARCOS LEROY,2020-09-20,2020-09-30,BH,1,51.00000000000003,2020-09-25,2020-10-07,1,Produto Errado,17,Atrasado
A4501,WALMART-MARCOS LEROY,2020-09-20,2020-09-30,BH,3,99.60000000000002,2020-09-27,2020-09-29,2,Danificado,9,No Prazo
A4505,CASAS BAHIA-LUIZ PARDAL,2020-09-20,2020-09-30,RJ,16,531.2000000000002,2020-09-23,2020-10-01,0,S/ Devolu.,11,Atrasado
A4506,CASAS BAHIA-VALDIR ESPINOSA,2020-09-20,2020-09-30,RJ,14,420.0,2020-10-07,2020-10-08,3,Produto Errado,18,Atrasado
A4511,AMERICANAS-MARCOS LEROY,2020-09-20,2020-09-30,BH,11,524.6999999999999,2020-09-29,2020-10-01,8,Produto Errado,11,Atrasado
A4512,WALMART-MARCOS LEROY,2020-09-20,2020-09-30,BH,18,918.0000000000006,2020-09-22,2020-10-04,1,Produto Errado,14,Atrasado
A4515,AMERICANAS-VALDIR ESPINOSA,2020-09-20,2020-09-30,SP,1,33.20000000000001,2020-09-30,2020-10-01,1,Danificado,11,Atrasado
A4516,WALMART-VALDIR ESPINOSA,2020-09-20,2020-09-30,RJ,14,228.20000000000002,2020-10-01,2020-10-05,1,Produto Errado,15,Atrasado
A4517,CASAS BAHIA-VALDIR ESPINOSA,2020-09-20,2020-09-30,SP,15,236.99999999999997,2020-09-25,2020-10-04,0,S/ Devolu.,14,Atrasado
A4518,WALMART-VALDIR ESPINOSA,2020-09-20,2020-09-30,BH,5,236.99999999999997,2020-10-01,2020-10-02,0,S/ Devolu.,12,Atrasado
A4520,CASA E VIDEO-VALDIR ESPINOSA,2020-09-20,2020-09-30,RJ,4,126.39999999999999,2020-09-28,2020-10-06,0,S/ Devolu.,16,Atrasado
A4521,WALMART-VALDIR ESPINOSA,2020-09-20,2020-09-30,BH,8,133.60000000000005,2020-09-29,2020-10-05,0,S/ Devolu.,15,Atrasado
A4522,MAGAZINE LUIZA-MARCOS LEROY,2020-09-20,2020-09-30,SP,14,705.6000000000004,2020-09-23,2020-09-30,1,Produto Errado,10,No Prazo
A4523,WALMART-VALDIR ESPINOSA,2020-09-20,2020-09-30,RJ,8,374.4,2020-09-30,2020-10-06,2,Produto Errado,16,Atrasado
A4536,WALMART-JOÃO GOMES,2020-09-21,2020-10-01,BH,6,188.39999999999998,2020-09-28,2020-10-07,1,Danificado,16,Atrasado
A4541,MAGAZINE LUIZA-LUIZ PARDAL,2020-09-21,2020-10-01,SP,11,341.0,2020-09-28,2020-10-02,3,Arrependimento,11,Atrasado
A4546,CASAS BAHIA-MARCOS LEROY,2020-09-21,2020-10-01,SP,12,575.9999999999999,2020-09-22,2020-10-06,3,Produto Errado,15,Atrasado
A4549,CASAS BAHIA-FELIPE SILVA,2020-09-21,2020-10-01,SP,7,331.79999999999995,2020-09-29,2020-10-02,2,Produto Errado,11,Atrasado
A4550,WALMART-FELIPE SILVA,2020-09-21,2020-10-01,SP,13,418.59999999999997,2020-09-26,2020-09-29,0,S/ Devolu.,8,No Prazo
